,FL07-A,FL08-A,FL10-A,FL09-A,FL11-A,FL06-A,FL05-A,FL04-A,FL03-A,FL00-A,FL01-A,FL02-A,FL16-A,FL15-A,FL17-A,FL18-A,FL13-A,FL14-A,FL12-A,FL23-A,FL22-A,FL21-A,FL19-A,FL20-A,FL37-A,FL36-A,FL38-A,FL39-A,FL42-A,FL41-A,FL40-A,FL31-A,FL32-A,FL34-A,FL33-A,FL35-A,FL24-A,FL26-A,FL25-A,FL28-A,FL27-A,FL30-A,FL29-A,FL46-A,FL47-A,FL43-A,FL45-A,FL44-A,FL48-A,FL49-A,FL50-A
BV711,0.002169423,0.011591701,0.007502703,0.007072503,0.006301145,0.003577224,0.00153416,0.000408693,0.000691116,0.033055124,0.569823435,0.089030895,0.181866487,0.07428637,0.051253749,0.023540505,0.011933072,0.003680598,0.000733716,0.000488002,0.016713801,1,0.327677964,0.299280154,0.000146895,0.000186667,-6.35E-05,-2.27E-05,0.001019744,0.081584352,0.022103603,3.57E-05,1.66E-05,5.55E-05,8.73E-05,0.000528602,0.00785351,0.039779184,0.042492736,0.058396616,0.007845919,0.001410529,-4.46E-05,0.01141329,0.186975545,0.382116068,0.250625544,0.168298393,5.75E-05,1.05E-05,2.65E-05
PerCP,0.0154729,0.003652848,0.001799275,0.003719481,0.009458351,0.010750388,0.004924627,0.003930433,0.002114052,0.431173734,0.143445294,0.007723994,0.001869899,0.000909603,-0.002141361,0.001863874,0.003100813,0.00195585,0.001414373,0.000841299,0.208463924,0.119209139,0.07652563,0.02092817,0.000886037,0.002336118,0.000101491,0.000630943,1,0.275232025,0.092223841,-2.94E-06,-5.10E-06,0.000417594,-0.00030246,0.363560374,0.396322413,0.141189508,0.086843637,0.2618307,0.011710571,0.003210613,0.000145046,0.095246716,0.021464186,0.020147633,0.034729045,0.007212499,6.85E-05,0.000358345,-0.000449745
BUV395,1,0.813472089,0.547678168,0.361933669,0.254202779,0.097862691,0.019795991,0.006928718,0.002868202,0.001276097,0.000431605,6.91E-05,0.005333651,0.003396754,0.002248588,0.001367603,0.000987559,0.000523037,0.000243952,0.000159714,4.58E-05,5.55E-06,6.02E-06,-1.12E-05,6.50E-05,5.33E-05,3.32E-05,2.12E-05,1.35E-05,1.97E-06,6.95E-07,5.47E-06,2.33E-05,3.92E-05,1.28E-05,1.52E-05,1.01E-05,-6.46E-05,1.65E-06,-2.36E-05,-4.43E-06,3.53E-06,-1.21E-06,5.04E-06,2.23E-06,-1.15E-06,6.12E-06,2.40E-06,4.21E-06,-5.11E-06,3.31E-07
Alexa Fluor 350,0.040895866,0.621332651,0.844226301,1,0.906125068,0.415451205,0.091714085,0.032429625,0.013250895,0.00493853,0.000867121,8.12E-05,0.047324777,0.048915025,0.044276239,0.02503748,0.011851611,0.002681034,0.00095186,0.000105163,6.24E-07,3.00E-05,-4.14E-06,-8.16E-06,4.46E-05,4.32E-05,6.21E-05,1.47E-05,9.03E-07,4.53E-06,3.30E-06,8.92E-05,9.07E-05,4.84E-05,3.15E-05,4.23E-05,-4.00E-05,-0.000116275,4.67E-06,4.58E-05,-4.50E-05,5.31E-06,5.87E-06,1.05E-05,-9.62E-06,-1.43E-05,4.26E-06,-5.99E-05,2.14E-05,-2.68E-06,-8.62E-07
BUV496,0.080611123,0.105360111,0.08367012,0.090027754,0.36451684,1,0.419990784,0.178318238,0.08471002,0.032492015,0.005369113,-7.70E-05,-0.006190985,-0.004971891,0.001218177,0.050904221,0.159713317,0.061160979,0.022453054,0.009522161,0.002007542,0.000116565,-1.73E-05,-0.000634281,0.008811465,0.003050814,0.000860533,0.000160158,2.50E-06,8.51E-06,4.12E-05,-0.00010025,-0.000203294,0.000157882,-7.71E-07,0.000249867,-0.000768134,-0.000190806,-2.95E-06,0.000458447,0.000135387,7.24E-05,-8.63E-05,0.000143639,0.000130535,0.000104245,7.75E-05,-0.000743151,0.000155767,-0.000125346,-0.000131986
BUV563,0.087411124,0.109766208,0.084893182,0.060752472,0.042302655,0.017286873,0.921013242,1,0.494147541,0.167902022,0.040742642,0.002032625,-0.001245998,-0.001223672,-1.02E-05,-0.000657209,-0.000801291,0.030076229,0.033184821,0.01568982,0.004139102,0.000464375,9.89E-05,-0.000187307,0.003836138,0.034256463,0.024003375,0.012946242,0.003691303,0.000721975,9.92E-05,0.202653495,0.145884654,0.13006604,0.079408615,0.044901712,0.014127868,0.009951773,0.00286171,0.005794611,0.000523186,6.98E-05,-0.000103635,0.000247948,0.000106656,0.000145907,0.000129379,0.000496732,0.000135874,-1.81E-05,3.56E-05
BUV615,0.046018503,0.064419605,0.054022487,0.042592744,0.032957637,0.012965361,0.003617688,0.033622675,1,0.531970005,0.161277483,0.014894786,0.005750398,0.007596918,0.01228858,0.009731939,0.008298978,0.004123227,0.003380601,0.062173888,0.022648175,0.008726235,0.00175166,0.000679497,0.001576272,0.001404225,0.001564104,0.005159261,0.002324146,0.000503213,0.000163289,0.010119333,0.074471861,0.305232769,0.256844289,0.190427987,0.070440797,0.062268747,0.028007634,0.042239218,0.003924214,0.000800132,9.70E-05,0.001884617,0.000318832,0.000147446,0.000194202,0.000581836,0.000125259,-9.91E-05,-3.24E-05
BUV661,0.026972225,0.035047487,0.027615364,0.01959487,0.013209622,0.004092799,-0.000588024,-0.000253592,0.039969003,1,0.351596015,0.038861467,-0.001221965,-0.001089452,-0.001491865,-0.002047285,-0.002518644,-0.001762174,-0.001158866,0.00092261,0.036589398,0.015689938,0.004841595,0.001556728,-0.000227116,-0.000179625,-4.95E-05,1.71E-05,0.001895579,0.000555629,6.51E-05,3.39E-05,0.000205294,0.001558545,0.006569849,0.126458294,0.037902769,0.035758962,0.021395157,0.030713073,0.002353648,0.000648634,1.46E-05,0.37866578,0.083097182,0.092838538,0.057350002,0.027102616,8.74E-05,-5.94E-05,-2.02E-05
BUV737,0.046620256,0.06576645,0.054832308,0.043228233,0.035099381,0.018669452,0.005180035,0.00265192,0.001086244,0.01006328,1,0.269647843,0.005551694,0.006387321,0.008226187,0.006947299,0.007097276,0.003344219,0.00148797,0.000761578,4.16E-05,0.017211163,0.03311614,0.020804839,0.000718031,0.000630447,0.000294306,0.000183994,0.000154819,0.013126539,0.008243804,4.49E-06,5.05E-05,0.000230409,0.000130823,8.14E-05,7.89E-05,0.00142106,0.00628808,0.024025424,0.002803428,0.000795832,2.20E-05,0.000231375,0.012526566,0.098469445,0.147847576,0.083160503,0.000346456,9.00E-05,-2.55E-06
BUV805,0.101180789,0.145939979,0.116413595,0.090088087,0.072118409,0.033660513,0.010197071,0.005745151,0.004802868,0.002915911,0.006785426,0.761909039,0.006136085,0.005953286,0.006831301,0.005441804,0.0054691,0.002570295,0.001417223,0.000892175,0.000351441,6.86E-05,0.000227321,0.030517518,0.000579914,0.000535161,0.000362467,0.000310867,0.000136692,2.16E-05,0.000954498,0.00014709,0.000328995,0.000642166,0.000398316,0.000360618,0.000123165,-6.86E-05,5.41E-05,0.000583148,0.007004105,0.000887725,2.52E-05,8.17E-05,7.12E-05,0.000162222,0.003211749,0.093508749,1,0.269822994,0.053676275
BV421,-0.000148731,0.071687221,0.048425528,0.043513078,0.025357829,0.009015438,0.001624557,0.000319732,-0.000447821,-0.001568815,-0.000528369,3.08E-06,1,0.455129591,0.306640716,0.116502917,0.053142528,0.01177768,0.003797636,0.001734955,7.85E-05,1.10E-05,1.46E-06,-0.000263119,0.000129659,6.84E-05,0.000122803,5.41E-05,3.27E-05,-1.11E-05,2.05E-05,1.34E-05,7.14E-05,0.000111593,0.000119809,0.000121384,7.16E-05,-0.000141775,-2.40E-05,7.87E-05,-5.72E-05,3.34E-05,-2.96E-05,-2.43E-06,-8.12E-06,-2.44E-05,6.55E-05,-3.27E-05,4.32E-05,-6.46E-05,4.85E-05
Pacific Blue,-0.000194542,-4.03E-06,0.019241017,0.05975857,0.054965327,0.02394723,0.005972266,0.001371524,0.001584861,0.001166658,-0.000834383,0.000163898,0.085237615,0.435908355,1,0.622020587,0.319753034,0.070514099,0.02289581,0.008991332,0.00264405,0.000861059,3.11E-05,-0.000269205,-0.000104479,-8.49E-05,0.000145964,-2.63E-05,2.11E-06,-3.98E-05,7.23E-05,-6.28E-05,9.32E-05,-0.000158837,0.000267372,-3.48E-05,0.000472823,-0.001180743,-3.39E-05,0.000272015,0.000603122,-6.94E-05,-2.75E-05,0.000163727,0.000177517,5.15E-05,8.97E-05,-0.000282391,6.54E-06,-0.000122393,-6.81E-05
BV480,0.001821063,-2.03E-05,0.001378673,0.038017411,0.241780174,0.246136225,0.108850035,0.047211293,0.025082682,0.009922183,0.001393531,0.000110184,-0.00026908,0.005352009,0.255489098,0.98822045,1,0.395295408,0.157039189,0.078626771,0.021950481,0.006797496,0.001168736,0.000419816,0.010602817,0.004149133,0.001455098,0.000783004,0.000271431,3.96E-05,1.35E-06,0.000104945,0.000106438,4.08E-05,0.000244255,0.000878494,0.000234806,-0.000193303,-4.64E-05,-0.000225538,-0.000166725,-7.15E-05,3.86E-06,-2.72E-05,-6.80E-05,-4.32E-05,1.25E-05,1.22E-05,7.95E-05,-3.68E-05,-2.03E-05
