fluorophore,synonym1,synonym2,synonym3,synonym4,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,channel.cytostellar,excitation.laser,nominal.wavelength,is.viability,class
2-NDGB,,,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,540,NA,
7-AAD,7AAD,7-Aminoactinomycin D,,,YG-4,B7-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG5,YG,647,TRUE,
Alexa Fluor 350,AF350,Alx350,Alexa 350,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,441,NA,Small molecule
Alexa Fluor 405,AF405,Alx405,Alexa 405,,V2-A,V2-A,405CH1-A,V1 (420)-A,V424-A,V1-A,FL16-A,V427-A,V1,Violet,422,NA,Small molecule
Alexa Fluor 488,AF488,Alx488,Alexa 488,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,520,NA,Small molecule
Alexa Fluor 514,AF514,Alexa 514,Alx514,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,542,NA,Small molecule
Alexa Fluor 532,AF532,Alx532,Alexa 532,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,553,NA,Small molecule
Alexa Fluor 546,AF546,Alx546,Alexa 546,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,572,NA,Small molecule
Alexa Fluor 555,AF555,Alexa 555,Alx555,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,570,NA,Small molecule
Alexa Fluor 561,AF561,Alx561,Alexa 561,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,581,NA,Small molecule
Alexa Fluor 568,AF568,Alx568,Alexa 568,,YG3-A,V10-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,603,NA,Small molecule
Alexa Fluor 594,AF594,Alx594,Alexa 594,,YG3-A,V10-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YG4,YellowGreen,618,NA,Small molecule
Alexa Fluor 610,AF610,Alexa 610,Alx610,,YG3-A,B6-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YG4,YellowGreen,628,NA,Small molecule
Alexa Fluor 633,AF633,Alexa 633,Alx633,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,647,NA,Small molecule
Alexa Fluor 647,AF647,Alx647,Alexa 647,,R2-A,R2-A,637CH19-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,R2,Red,671,NA,Small molecule
Alexa Fluor 660,AF660,Alx660,Alexa 660,,R3-A,R3-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R675-A,R3,Red,691,NA,Small molecule
Alexa Fluor 680,AF680,Alx680,Alexa 680,,R4-A,R4-A,637CH22-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,R3,Red,704,NA,Small molecule
Alexa Fluor 700,AF700,Alx700,Alexa 700,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,719,NA,Small molecule
Alexa Fluor 750,AF750,Alx750,Alexa 750,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,R6,Red,775,NA,Small molecule
