marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,large.gate
ACSA-2,ASCA2,ACSA-2,ASCA-2,ACSA2,ASCA2,ACSA.2,,,,TRUE
Activin A,INHBA,Activin-A,,,,,,,,FALSE
AF,AutoFluorescence,Autofluorescence,AutoF,AutoFluor,,,,,,FALSE
Aiolos,IKZF3,Aiolos zinc finger protein 3,,,,,,,,FALSE
ALK,Anaplastic lymphoma kinase,,,,,,,,,FALSE
alpha-SMA,ACTA2,Smooth muscle actin,aSMA,a-SMA,Smooth muscle alpha-actin,,,,,FALSE
Amphiregulin,Areg,AREG,EGF-like ligand,,,,,,,FALSE
Annexin A1,AnxA1,ANXA1,Lipocortin I,,,,,,,FALSE
Annexin A2,AnxA2,ANXA2,Lipocortin II,,,,,,,FALSE
Annexin V,Annexin,AnnV,AnnexinV,,,,,,,FALSE
AP-1,Activator protein 1,c-Fos/c-Jun,,,,,,,,FALSE
Areg,A-reg,A.reg,Amphiregulin,,,,,,,FALSE
AU1,AU1 tag,AU1-tag,AU1_tag,,,,,,,FALSE
AU5,AU5 tag,AU5-tag,AU5_tag,,,,,,,FALSE
AXL,AXL receptor tyrosine kinase,UFO,,,,,,,,FALSE
B220,CD45R,,,,,,,,,FALSE
BAFFR,BAFF-R,BAFF.R,CD268,TNFRSF13C,BR3,,,,,FALSE
BATF,Batf,,,,,,,,,FALSE
Bax,BAX,Bcl2-associated X protein,,,,,,,,FALSE
Bcl-2,BCL2,Bcl2,,,,,,,,FALSE
Bcl-6,Bcl-6,Bcl.6,Bcl6,BCL6,,,,,,FALSE
Bcl-xL,BCL2L1,BclxL,BCL-xL,,,,,,,FALSE
BDNF,,,,,,,,,,FALSE
BFP,Blue Fluorescent Protein,,,,,,,,,FALSE
Blimp-1,Blimp1,Prdm1,,,,,,,,FALSE
BMP4,Bone morphogenetic protein 4,Bmp4,,,,,,,,FALSE
BP1,BP-1,BP.1,Ly51,Ly-51,Ly.51,,,,,FALSE
BTLA,CD272,BTLA (CD272),,,,,,,,FALSE
C,C tag,C-tag,C_tag,,,,,,,FALSE
c-Myc,cMyc,MYC,c-MYC,,,,,,,FALSE
C/EBPa,CEBPA,CCAAT enhancer binding protein alpha,CEBPalpha,,,,,,,FALSE
